Sites,bolo,canjica,comidas,dia,evento,festa,festas,joão,junho,junina,milho,quentão,tradicional,típicas,Soma palavras relevantes
guia.folha.uol.com.br,17,0,17,543,122,94,32,80,0,68,0,0,8,0,981
www.sympla.com.br,0,0,8,25,306,83,48,22,14,17,0,4,6,10,543
blog.xalingo.com.br,6,0,8,20,1,83,32,28,25,41,6,2,2,10,264
brasilescola.uol.com.br,3,0,6,114,0,54,3,4,0,49,1,0,0,3,237
www.abrakadabra.com.br,0,0,0,7,1,49,5,0,0,42,0,0,0,0,104
all.accor.com,3,1,7,4,1,29,11,3,1,11,4,2,1,3,81
www.fazfacil.com.br,1,0,1,1,0,16,3,2,2,10,1,1,0,0,38
catracalivre.com.br,0,0,0,0,0,13,3,0,4,9,0,0,0,0,29
