Sites,brasil,dia,dicas,dúvidas,enem,exercícios,fazer,festa,festas,história,junina,passeios,restaurantes,salvar,shows,sp,Soma palavras relevantes
guia.folha.uol.com.br,56,543,316,34,0,0,87,94,32,26,68,1781,1712,0,1608,2452,8809
exercicios.brasilescola.uol.com.br,246,4,7,31,34,5926,5,0,0,158,0,0,0,0,0,1,6412
brasilescola.uol.com.br,475,114,149,954,794,542,52,54,3,575,49,0,0,0,1,1,3763
vestibular.brasilescola.uol.com.br,209,51,282,112,1837,53,135,0,3,12,0,0,0,0,0,0,2694
blog.xalingo.com.br,9,20,64,3,0,0,93,83,32,2,41,0,0,0,0,0,347
www.sympla.com.br,38,25,1,14,0,0,16,83,48,1,17,46,1,0,47,6,343
monografias.brasilescola.uol.com.br,88,6,1,18,18,18,10,0,0,46,0,0,0,0,0,2,207
educador.brasilescola.uol.com.br,33,3,46,15,18,9,3,0,0,54,0,0,0,0,0,0,181
concursosnobrasil.com,75,2,0,3,0,0,6,0,0,1,0,0,0,0,0,43,130
www.abrakadabra.com.br,1,7,0,1,0,0,0,49,5,1,42,0,0,0,0,1,107
